# Source: https://github.com/Wal33D/dtc-database
# Commit: 04c43d72e7db7197658b6f72fe582c5076d9eee8
# License: MIT
# Extracted: 2026-03-11T10:18:36Z
# Rows: 9390
B0081	AUDI	Wiring issues, Control module problems, A problem with the airbag
B1675	OTHER	Seat Driver Occupied Input Circuit Short To Ground
B1676	OTHER	Battery Pack Voltage Out Of Range
B1677	OTHER	Alarm Panic Input Circuit Failure
B1678	OTHER	Alarm Panic Input Circuit Open
B1679	OTHER	Alarm Panic Input Circuit Short To Battery
B1680	OTHER	Alarm Panic Input Circuit Short To Ground
B1681	OTHER	PATS Transceiver Module Signal Is Not Received
B1682	OTHER	PATS Is Disabled (Check Link Between PATS And Transponder)
B1683	OTHER	Mirror Driver/Passenger Switch Circuit Failure
B1684	OTHER	Mirror Driver/Passenger Switch Circuit Open
B1685	OTHER	Lamp Dome Input Circuit Failure
B1686	OTHER	Lamp Dome Input Circuit Open
B1687	OTHER	Lamp Dome Input Circuit Short To Battery
B1688	OTHER	Lamp Dome Input Circuit Short To Ground
B1689	OTHER	Autolamp Delay Circuit Failure
B1690	OTHER	Autolamp Delay Circuit Open
B1691	OTHER	Autolamp Delay Circuit Short To Battery
B1692	OTHER	Autolamp Delay Circuit Short To Ground
B1693	OTHER	Autolamp On Circuit Failure
B1694	OTHER	Autolamp On Circuit Open
B1695	OTHER	Autolamp On Circuit Short To Battery
B1696	OTHER	Autolamp On Circuit Short To Ground
B1697	OTHER	Mirror Driver/Passenger Switch Circuit Short To Battery
B1698	OTHER	Mirror Driver/Passenger Switch Circuit Short To Ground
B1699	OTHER	Passenger's Seat Occupied Switch Circuit Short to Ground
B1700	OTHER	Passenger's Seatbelt Tension Reducer Circuit Short to Ground
B1701	OTHER	Seat Driver Recline Forward Switch Circuit Failure
B1702	OTHER	Seat Driver Recline Forward Switch Circuit Open
B1703	OTHER	Seat Driver Recline Forward Switch Circuit Short To Battery
B1704	OTHER	Seat Driver Recline Forward Switch Circuit Short To Ground
B1705	OTHER	Seat Driver Recline Rearward Switch Circuit Failure
B1706	OTHER	Seat Driver Recline Rearward Switch Circuit Open
B1707	OTHER	Seat Driver Recline Rearward Switch Circuit Short To Battery
B1708	OTHER	Seat Driver Recline Rearward Switch Circuit Short To Ground
B1709	OTHER	Seat Driver Front Up Switch Circuit Failure
B1710	OTHER	Seat Driver Front Up Switch Circuit Open
B1711	OTHER	Seat Driver Front Up Switch Circuit Short To Battery
B1712	OTHER	Seat Driver Front Up Switch Circuit Short To Ground
B1713	OTHER	Seat Driver Front Down Switch Circuit Failure
B1714	OTHER	Seat Driver Front Down Switch Circuit Open
B1715	OTHER	Seat Driver Front Down Switch Circuit Short To Battery
B1716	OTHER	Seat Driver Front Down Switch Circuit Short To Ground
B1717	OTHER	Seat Driver Forward Switch Circuit Failure
B1718	OTHER	Seat Driver Forward Switch Circuit Open
B1719	OTHER	Seat Driver Forward Switch Circuit Short To Battery
B1720	OTHER	Seat Driver Forward Switch Circuit Short To Ground
B1721	OTHER	Seat Driver Rearward Switch Circuit Failure
B1722	OTHER	Seat Driver Rearward Switch Circuit Open
B1723	OTHER	Seat Driver Rearward Switch Circuit Short To Battery
B1724	OTHER	Seat Driver Rearward Switch Circuit Short To Ground
B1725	OTHER	Seat Driver Rear Up Switch Circuit Failure
B1726	OTHER	Seat Driver Rear Up Switch Circuit Open
B1727	OTHER	Seat Driver Rear Up Switch Circuit Short To Battery
B1728	OTHER	Seat Driver Rear Up Switch Circuit Short To Ground
B1729	OTHER	Seat Driver Rear Down Switch Circuit Failure
B1730	OTHER	Seat Driver Rear Down Switch Circuit Open
B1731	OTHER	Seat Driver Rear Down Switch Circuit Short To Battery
B1732	OTHER	Seat Driver Rear Down Switch Circuit Short To Ground
B1733	OTHER	Mirror Driver Vertical Switch Circuit Failure
B1734	OTHER	Mirror Driver Vertical Switch Circuit Open
B1735	OTHER	Mirror Driver Vertical Switch Circuit Short To Battery
B1736	OTHER	Mirror Driver Vertical Switch Circuit Short To Ground
B1737	OTHER	Mirror Driver Horizontal Switch Circuit Failure
B1738	OTHER	Mirror Driver Horizontal Switch Circuit Open
B1739	OTHER	Mirror Driver Horizontal Switch Circuit Short To Battery
B1740	OTHER	Mirror Driver Horizontal Switch Circuit Short To Ground
B1741	OTHER	Mirror Passenger Vertical Switch Circuit Failure
B1742	OTHER	Mirror Passenger Vertical Switch Circuit Open
B1743	OTHER	Mirror Passenger Vertical Switch Circuit Short To Battery
B1744	OTHER	Mirror Passenger Vertical Switch Circuit Short To Ground
B1745	OTHER	Mirror Passenger Horizontal Switch Circuit Failure
B1746	OTHER	Mirror Passenger Horizontal Switch Circuit Open
B1747	OTHER	Mirror Passenger Horizontal Switch Circuit Short To Battery
B1748	OTHER	Mirror Passenger Horizontal Switch Circuit Short To Ground
B1749	OTHER	Park/Neutral Switch Circuit Failure
B1750	OTHER	Park/Neutral Switch Circuit Open
B1751	OTHER	Park/Neutral Switch Circuit Short To Battery
B1752	OTHER	Park/Neutral Switch Circuit Short To Ground
B1753	OTHER	Hazard Flash Output Circuit Failure
B1754	OTHER	Hazard Flash Output Circuit Open
B1755	OTHER	Hazard Flash Output Circuit Short Battery
B1756	OTHER	Hazard Flash Output Circuit Short To Ground
B1757	OTHER	Seat Driver Rear Down Circuit Failure
B1758	OTHER	Seat Driver Rear Down Circuit Open
B1759	OTHER	Seat Driver Rear Down Circuit Short To Battery
B1760	OTHER	Seat Driver Rear Down Circuit Short To Ground
B1761	OTHER	Seat Driver Front Down Circuit Failure
B1762	OTHER	Seat Driver Front Down Circuit Open
B1763	OTHER	Seat Driver Front Down Circuit Short To Battery
B1764	OTHER	Seat Driver Front Down Circuit Short To Ground
B1765	OTHER	Seat Driver Forward Circuit Failure
B1766	OTHER	Seat Driver Forward Circuit Open
B1767	OTHER	Seat Driver Forward Circuit Short To Battery
B1768	OTHER	Seat Driver Forward Circuit Short To Ground
B1769	OTHER	Seat Driver Backward Circuit Failure
B1770	OTHER	Seat Driver Backward Circuit Open
B1771	OTHER	Seat Driver Backward Circuit Short To Battery
B1772	OTHER	Seat Driver Backward Circuit Short To Ground
B1773	OTHER	Mirror Driver Up Circuit Failure
B1774	OTHER	Mirror Driver Up Circuit Open
B1775	OTHER	Mirror Driver Up Circuit Short To Battery
B1776	OTHER	Mirror Driver Up Circuit Short To Ground
B1777	OTHER	Driver's Seatbelt Tension Reducer Circuit Short to Ground
B1778	OTHER	Mirror Driver Down Circuit Failure
B1779	OTHER	Mirror Driver Down Circuit Open
B1780	OTHER	Mirror Driver Down Circuit Short To Battery
B1781	OTHER	Mirror Driver Down Short To Ground
B1782	OTHER	Mirror Passenger Up Circuit Failure
B1783	OTHER	Mirror Passenger Up Circuit Open
B1784	OTHER	Mirror Passenger Up Circuit Short To Battery
B1785	OTHER	Mirror Passenger Up Circuit Short To Ground
B1786	OTHER	Mirror Passenger Down Circuit Failure
B1787	OTHER	Mirror Passenger Down Circuit Open
B1788	OTHER	Mirror Passenger Down Circuit Short To Battery
B1789	OTHER	Mirror Passenger Down Circuit Short To Ground
B1790	OTHER	Autolamp Sensor Input Circuit Failure
B1791	OTHER	Autolamp Sensor Input Circuit Open
B1792	OTHER	Autolamp Sensor Input Circuit Short To Battery
B1793	OTHER	Autolamp Sensor Input Circuit Short To Ground
B1794	OTHER	Lamp Headlamp Low-Beam Circuit Failure
B1795	OTHER	Lamp Headlamp Low-Beam Circuit Open
B1796	OTHER	Lamp Headlamp Low-Beam Circuit Short To Battery
B1797	OTHER	Lamp Headlamp Low-Beam Circuit Short To Ground
B1798	OTHER	Lamp Turn Signal Front Output Circuit Failure
B1799	OTHER	Lamp Turn Signal Front Output Circuit Open
B1800	OTHER	Lamp Turn Signal Front Output Circuit Short To Battery
B1801	OTHER	Lamp Turn Signal Front Output Circuit Short To Ground
B1802	OTHER	Lamp Turn Signal Rear Output Circuit Failure
B1803	OTHER	Lamp Turn Signal Rear Output Circuit Open
B1804	OTHER	Lamp Turn Signal Rear Output Circuit Short To Battery
B1805	OTHER	Lamp Turn Signal Rear Output Circuit Short To Ground
B1806	OTHER	Lamp Tail Output Circuit Failure
B1807	OTHER	Lamp Tail Output Circuit Open
B1808	OTHER	Lamp Tail Output Circuit Short To Battery
B1809	OTHER	Lamp Tail Output Circuit Short To Ground
B1810	OTHER	Lamp Backup Switch Input Circuit Failure
B1811	OTHER	Lamp Backup Switch Input Circuit Open
B1812	OTHER	Lamp Backup Switch Input Circuit Short To Battery
B1813	OTHER	Lamp Backup Switch Input Circuit Short To Ground
B1814	OTHER	Wiper Rear Motor Down Relay Coil Circuit Failure
B1815	OTHER	Wiper Rear Motor Down Relay Coil Circuit Open
B1816	OTHER	Wiper Rear Motor Down Relay Coil Circuit Short To Battery
B1817	OTHER	Wiper Rear Motor Down Relay Coil Circuit Short To Ground
B1818	OTHER	Wiper Rear Motor Up Relay Coil Circuit Failure
B1819	OTHER	Wiper Rear Motor Up Relay Coil Circuit Open
B1820	OTHER	Wiper Rear Motor Up Relay Coil Circuit Short To Battery
B1821	OTHER	Wiper Rear Motor Up Relay Coil Circuit Short To Ground
B1822	OTHER	Wiper Rear Park Sense Input Circuit Failure
B1823	OTHER	Wiper Rear Park Sense Input Circuit Open
B1824	OTHER	Wiper Rear Park Sense Input Circuit Short To Battery
B1825	OTHER	Wiper Rear Park Sense Input Circuit Short To Ground
B1826	OTHER	Wiper Rear High Limit Input Circuit Failure
B1827	OTHER	Wiper Rear High Limit Input Circuit Open
B1828	OTHER	Wiper Rear High Limit Input Circuit Short To Battery
B1829	OTHER	Wiper Rear High Limit Input Circuit Short To Ground
B1830	OTHER	Door Unlock Disarm Switch Circuit Failure
B1831	OTHER	Door Unlock Disarm Switch Circuit Open
B1832	OTHER	Door Unlock Disarm Switch Circuit Short To Battery
B1833	OTHER	Door Unlock Disarm Switch Circuit Short To Ground
B1834	OTHER	Door Unlock Disarm Output Circuit Failure
B1835	OTHER	Door Unlock Disarm Output Circuit Open
B1836	OTHER	Door Unlock Disarm Output Circuit Short To Battery
B1837	OTHER	Door Unlock Disarm Output Circuit Short To Ground
B1838	OTHER	Battery Saver Power Relay Circuit Failure
B1839	OTHER	Wiper Rear Motor Circuit Failure
B1840	OTHER	Wiper Front Power Circuit Failure
B1841	OTHER	Wiper Front Power Circuit Open
B1842	OTHER	Wiper Front Power Circuit Short To Battery
B1843	OTHER	Wiper Front Power Circuit Short To Ground
B1844	OTHER	Phone Handset Circuit Failure
B1845	OTHER	Ignition Tamper Circuit Failure
B1846	OTHER	Ignition Tamper Circuit Open
B1847	OTHER	Ignition Tamper Circuit Short To Battery
B1848	OTHER	Ignition Tamper Circuit Short To Ground
B1849	OTHER	Climate Control Temperature Differential Circuit Failure
B1850	OTHER	Climate Control Temperature Differential Circuit Open
B1851	OTHER	Climate Control Temperature Differential Circuit Short To Battery
B1852	OTHER	Climate Control Temperature Differential Circuit Short To Ground
B1853	OTHER	Climate Control Air Temperature Internal Sensor Motor Circuit Failure
B1854	OTHER	Climate Control Air Temperature Internal Sensor Motor Circuit Open
B1855	OTHER	Climate Control Air Temperature Internal Sensor Motor Circuit Short To Battery
B1856	OTHER	Climate Control Air Temperature Internal Sensor Motor Circuit Short To Ground
B1857	OTHER	Climate Control On/Off Switch Circuit Failure
B1858	OTHER	Climate Control A/C Pressure Switch Circuit Failure
B1859	OTHER	Climate Control A/C Pressure Switch Circuit Open
B1860	OTHER	Climate Control A/C Pressure Switch Circuit Short To Battery
B1861	OTHER	Climate Control A/C Pressure Switch Circuit Short To Ground
B1862	OTHER	Climate Control A/C Lock Sensor Failure
B1863	OTHER	Ground ECU Circuit Open
B1864	OTHER	Battery Power Supply ECU Circuit Failure
B1865	OTHER	Battery Power Supply ECU Circuit Open
B1866	OTHER	Battery Power Supply ECU Circuit Short To Battery
B1867	OTHER	Battery Power Supply ECU Circuit Short To Ground
B1868	OTHER	Lamp Air Bag Warning Indicator Circuit Failure
B1869	OTHER	Lamp Air Bag Warning Indicator Circuit Open
B1870	OTHER	Lamp Air Bag Warning Indicator Circuit Short To Battery
B1871	OTHER	Passenger Air Bag Disable Module Fault
B1872	OTHER	Turn Signal / Hazard Power Feed Circuit Short To Battery
B1873	OTHER	Turn Signal / Hazard Power Feed Circuit Short To Ground
B1874	OTHER	Cellular Phone Handset Not Present
B1875	OTHER	Turn Signal / Hazard Switch Signal Circuit Failure
B1876	OTHER	Seatbelt Driver Pretensioner Circuit Failure
B1877	OTHER	Seatbelt Driver Pretensioner Circuit Open
B1878	OTHER	Seatbelt Driver Pretensioner Circuit Short to Battery
B1879	OTHER	Seatbelt Driver Pretensioner Circuit Short to Ground
B1880	OTHER	Seatbelt Passenger Pretensioner Circuit Failure
B1881	OTHER	Seatbelt Passenger Pretensioner Circuit Open
B1882	OTHER	Seatbelt Passenger Pretensioner Circuit Short to Battery
B1883	OTHER	Seatbelt Passenger Pretensioner Circuit Short to Ground
B1884	OTHER	PAD Warning Lamp Inoperative
B1885	OTHER	Seatbelt Driver Pretensioner Circuit Resistance Low on Squib
B1886	OTHER	Seatbelt Passenger Pretensioner Circuit Resistance Low on Squib
B1887	OTHER	Air Bag Driver Circuit Resistance Low or Shorted Together
B1888	OTHER	Air Bag Passenger Circuit Resistance Low or Shorted Together
B1889	OTHER	Passenger Airbag Disable Module Sensor Obstructed
B1890	OTHER	PAD Warning Lamp Circuit Short to Battery
B1891	OTHER	Air Bag Tone Warning Indicator Circuit Short to Battery
B1892	OTHER	Air Bag Tone Warning Indicator Circuit Failure
B1893	OTHER	GPS Antenna Open Circuit
B1894	OTHER	Wiper Rear Motor Speed Sense Circuit Failure
B1895	OTHER	Driver's / Passenger's Door Ajar Output Circuit Failure
B1896	OTHER	Driver's / Passenger's Door Ajar Output Circuit Short to Battery
B1897	OTHER	Horn Switch Circuit Failure
B1898	OTHER	Chime Input #2 Circuit Short to Ground
B1899	OTHER	Microphone Input Signal Circuit Open
B1900	OTHER	Driver Side Airbag Fault
B1901	OTHER	Air Bag Crash Sensor #1 Feed/Return Circuit Short To Ground
B1902	OTHER	Air Bag Crash Sensor #1 Ground Circuit Failure
B1903	OTHER	Air Bag Crash Sensor #1 Ground Circuit Short To Battery
B1904	OTHER	Air Bag Crash Sensor #2 Feed/Return Circuit Failure
B1905	OTHER	Air Bag Crash Sensor #2 Feed/Return Circuit Short To Battery
B1906	OTHER	Air Bag Crash Sensor #2 Feed/Return Circuit Short To Ground
B1907	OTHER	Air Bag Crash Sensor #2 Ground Circuit Failure
B1908	OTHER	Air Bag Crash Sensor #2 Ground Circuit Short To Battery
B1909	OTHER	Air Bag Crash Sensor #2 Ground Circuit Short To Ground
B1910	OTHER	Air Bag Diagnostic Monitor Ground Circuit Failure
B1911	OTHER	Air Bag Diagnostic Monitor Ground Circuit Short To Battery
B1912	OTHER	Air Bag Diagnostic Monitor Ground Circuit Short To Ground
B1913	OTHER	Air Bag Driver/Passenger Circuit Short To Ground
B1914	OTHER	Air Bag Crash Sensors #1 / #2 Circuit Short To Ground
B1915	OTHER	Air Bag Driver Circuit Failure
B1916	OTHER	Air Bag Driver Circuit Short To Battery
B1917	OTHER	Air Bag Memory Clear Circuit Failure
B1918	OTHER	Air Bag Memory Clear Circuit Open
B1919	OTHER	Air Bag Memory Clear Circuit Short To Battery
B1920	OTHER	Air Bag Passenger Circuit Failure
B1921	OTHER	Air Bag Diagnostic Monitor Ground Circuit Open
B1922	OTHER	Air Bag Safing Sensor Output Circuit Short To Battery
B1923	OTHER	Air Bag Memory Clear Circuit Short To Ground
B1924	OTHER	Air Bag Internal Diagnostic Monitor Fault or System Disarm Fault
B1925	OTHER	Air Bag Passenger Circuit Short To Battery
B1926	OTHER	Air Bag Passenger Pressure Switch Circuit Failure
B1927	OTHER	Passenger Side Airbag Fault
B1928	OTHER	Air Bag Safing Sensor Output Circuit Failure
B1929	OTHER	Air Bag Safing Sensor Output Circuit Open
B1930	OTHER	Air Bag Safing Sensor Output Circuit Short To Ground
B1931	OTHER	Air Bag Crash Sensor #1 Feed/Return Circuit Failure
B1932	OTHER	Air Bag Driver Circuit Open
B1933	OTHER	Air Bag Passenger Circuit Open
B1934	OTHER	Air Bag Driver Inflator Circuit Resistance Low on Squib
B1935	OTHER	Air Bag Passenger Inflator Circuit Resistance Low on Squib
B1936	OTHER	Air Bag Driver Circuit Short To Ground
B1937	OTHER	Air Bag Passenger Pressure Switch Circuit Open
B1938	OTHER	Air Bag Passenger Circuit Short To Ground
B1939	OTHER	Air Bag Passenger Pressure Switch Circuit Short To Ground
B1941	OTHER	Air Bag Crash Sensor #1 Feed/Return Circuit Open
B1942	OTHER	Air Bag Crash Sensor #2 Feed/Return Circuit Open
B1943	OTHER	Air Bag Crash Sensor #1 Ground Circuit Short To Ground
B1944	OTHER	Air Bag Crash Sensor #1 Ground Circuit Open
B1945	OTHER	Air Bag Crash Sensor #2 Ground Circuit Open
B1946	OTHER	Climate Control A/C Post Evaporator Sensor Circuit Failure
B1947	OTHER	Climate Control A/C Post Evaporator Sensor Circuit Short To Ground
B1948	OTHER	Climate Control Water Temperature Sensor Circuit Failure
B1949	OTHER	Climate Control Water Temperature Sensor Circuit Short To Ground
B1950	OTHER	Seat Rear Up/Down Potentiometer Feedback Circuit Failure
B1951	OTHER	Seat Rear Up/Down Potentiometer Feedback Circuit Open
B1952	OTHER	Seat Rear Up/Down Potentiometer Feedback Circuit Short To Battery
B1953	OTHER	Seat Rear Up/Down Potentiometer Feedback Circuit Short To Ground
B1954	OTHER	Seat Front Up/Down Potentiometer Feedback Circuit Failure
B1955	OTHER	Seat Front Up/Down Potentiometer Feedback Circuit Open
B1956	OTHER	Seat Front Up/Down Potentiometer Feedback Circuit Short To Battery
B1957	OTHER	Seat Front Up/Down Potentiometer Feedback Circuit Short To Ground
B1958	OTHER	Seat Recline Forward/Backward Potentiometer Feedback Circuit Failure
B1959	OTHER	Seat Recline Forward/Backward Potentiometer Feedback Circuit Open
B1960	OTHER	Seat Recline Forward/Backward Potentiometer Feedback Circuit Short To Battery
B1961	OTHER	Seat Recline Forward/Backward Potentiometer Feedback Circuit Short To Ground
B1962	OTHER	Seat Horizontal Forward/Rearward Potentiometer Feedback Circuit Failure
B1963	OTHER	Seat Horizontal Forward/Rearward Potentiometer Feedback Circuit Open
B1964	OTHER	Seat Horizontal Forward/Rearward Potentiometer Feedback Circuit Short To Battery
B1965	OTHER	Seat Horizontal Forward/Rearward Potentiometer Feedback Circuit Short To Ground
B1966	OTHER	A/C Post Heater Sensor Circuit Failure
B1967	OTHER	A/C Post Heater Sensor Circuit Short To Ground
B1968	OTHER	A/C Water Pump Detection Circuit Failure
B1969	OTHER	A/C Clutch Magnetic Control Circuit Failure
B1970	OTHER	Passenger Seatback Forward Switch Circuit Short to Ground
B1971	OTHER	Passenger Seatback Rearward Switch Circuit Short to Ground
B1972	OTHER	Passenger Rear Seat Up Switch Circuit Short to Battery
B1973	OTHER	Passenger Rear Seat Down Switch Circuit Short to Battery
B1974	OTHER	Passenger's Seat Recline Forward Switch Circuit Short to Battery
B1975	OTHER	Passenger's Seat Recline Back Switch Circuit Short to Battery
B1976	OTHER	Passenger's Seat Forward Switch Circuit Short to Battery
B1977	OTHER	Passenger's Front Seat Up Switch Circuit Short to Battery
B1978	OTHER	Passenger's Front Seat Down Switch Circuit Short to Battery
B1979	OTHER	Passenger Seat Rearward Switch Circuit Short to Battery
B1980	OTHER	Bulb - Outage Condition Detected
B1981	OTHER	Memory Off Switch Circuit Short to Battery
B1982	OTHER	Driver's Door Unlock Relay Circuit Failure
B1983	OTHER	Driver's Door Unlock Relay Circuit Short to Battery
B1984	OTHER	Seat Switch Lumbar Inflate Circuit Failure
B1985	OTHER	Seat Switch Lumbar Deflate Circuit Failure
B1986	OTHER	Driver's Seat Seatback Autoglide Rearward Switch Circuit Failure
B1987	OTHER	Pedal Forward / Rearward Motor Stalled
B1988	OTHER	Pedal Position Forward Switch Circuit Short to Battery
B1989	OTHER	Pedal Position Rearward Switch Circuit Short to Battery
B1990	OTHER	Pedal Forward / Rearward Potentiometer Feedback Circuit Failure
B1991	OTHER	Pedal Forward / Rearward Potentiometer Feedback Circuit Short to Battery
B1992	OTHER	Driver Side, Side mount Airbag Circuit Short to Vbatt
B1993	OTHER	Driver Sid, Side mount Airbag Circuit Short to Ground
B1994	OTHER	Driver Sid, Side mount Airbag Circuit Open
B1995	OTHER	Driver Sid, Side mount Airbag Low resistance on Squib
B1996	OTHER	Passenger Sid, Side mount Airbag Circuit Short to Vbatt
B1997	OTHER	Passenger Sid, Side mount Airbag Circuit Short to Ground
B1998	OTHER	Passenger Sid, Side mount Airbag Circuit Open
B1999	OTHER	Passenger Sid, Side mount Airbag Low resistance on Squib
